0.75	1.405	0.013	17.375	47.166	24.374
0.7	1.414	0.007	9.839	60.011	24.67
1.28	1.194	0.011	16.052	46.649	29.245
0.84	1.37	0.017	19.141	43.445	24.423
0.37	1.482	0.134	14.265	35.652	17.993
0.587	1.251	0.04	18.823	38.908	20.751
0.38	1.481	0.029	18.94	43.578	20.906
0.55	1.379	0.055	22.062	33.483	20.487
0.56	1.392	0.008	11.163	57.489	23.65
1.07	1.24	0.006	9.994	57.438	27.205
0.65	1.313	0.01	11.336	55.815	24.355
0.498	1.512	0.053	21.306	36.738	20.458
0.66	1.433	0.017	19.141	44.334	23.436
0.89	1.328	0.023	20.201	40.259	25.641
0.36	1.423	0.01	13.047	54.697	22.149
0.61	1.433	0.047	19.282	39.741	21.282
0.47	1.371	0.031	18.976	41.583	21.482
0.28	1.501	0.108	15.27	38.193	17.561
0.398	1.559	0.087	19.604	35.182	18.564
0.339	1.549	0.081	19.285	36.433	18.71
0.3	1.452	0.019	18.942	44.515	20.83
0.33	1.491	0.021	16.88	48.132	21.391
0.72	1.29	0.012	16.597	47.014	24.15
0.91	1.313	0.006	10.077	58.45	26.171
0.7	1.321	0.032	20.563	38.352	22.189
0.7	1.314	0.018	17.117	45.684	23.632
0.38	1.481	0.004	7.87	64.512	23.092
0.76	1.549	0.019	17.29	48.602	21.686
0.62	1.354	0.067	22.442	30.792	20.547
1.01	1.286	0.011	15.463	48.854	25.808
0.51	1.423	0.024	21.068	40.162	21.716
0.42	1.471	0.146	17.045	29.49	16.41
0.245	1.61	0.015	17.213	50.079	17.756
0.19	1.494	0.159	16.227	29.143	16.632
0.877	1.45	0.033	19.759	41.317	24.912
0.28	1.501	0.167	16.122	28.278	17.47
0.8	1.396	0.027	21.293	38.92	23.301
0.877	1.721	0.043	19.478	44.076	21.564
0.502	1.427	0.006	9.758	60.535	24.756
0.894	1.549	0.022	20.855	42.566	22.365
0.79	1.457	0.076	19.692	35.285	20.682
0.584	1.303	0.009	18.084	45.181	23.993
0.67	1.178	0.025	22.884	33.647	23.168
0.89	1.218	0.024	16.523	44.297	25.166
0.19	1.522	0.171	16.222	27.791	14.644
0.398	1.498	0.023	21.873	40.013	19.376
0.38	1.481	0.024	21.129	40.78	20.608
0.384	1.62	0.016	16.271	51.637	22.51
1.28	1.399	0.029	21.342	38.685	26.945
0.93	1.337	0.035	18.187	41.785	24.312
0.94	1.329	0.011	12.814	53.638	25.926
0.328	1.549	0.081	19.285	36.433	18.65
0.779	1.709	0.04	17.339	47.744	20.692
0.97	1.206	0.047	20.863	34.002	23.559
0.83	1.515	0.075	18.934	37.339	18.978
0.78	1.539	0.021	17.696	47.424	21.546
0.498	1.417	0.007	10.773	58.678	23.56
0.64	1.298	0.027	19.66	40.127	22.986
0.51	1.453	0.017	19.141	44.617	21.971
0.23	1.511	0.12	17.284	33.446	16.514
0.344	1.608	0.026	18.853	45.863	23.568
1.11	1.167	0.015	18.741	41.411	28.435
0.425	1.537	0.031	14.058	51.629	20.897
0.52	1.381	0.037	22.169	35.957	20.992
0.42	1.463	0.021	20.4	42.118	20.957
0.22	1.487	0.09	21.836	30.256	17.48
0.344	1.661	0.093	19.134	36.452	20.875
0.86	1.329	0.013	14.291	51.051	24.878
0.61	1.235	0.025	22.884	34.46	22.451
0.82	1.276	0.01	11.819	54.559	25.375
0.637	1.62	0.015	17.201	50.244	22.014
0.89	1.337	0.005	11.656	56.32	25.687
0.56	1.341	0.011	14.1	51.779	23.504
0.87	1.384	0.038	18.109	42.098	24.11
1.06	1.174	0.021	17.696	42.267	27.512
0.579	1.417	0.013	15.119	50.925	24.585
0.87	1.37	0.01	14.036	52.459	25.495
0.75	1.325	0.039	21.248	36.254	22.366
0.81	1.529	0.073	18.747	38.21	20.003
0.85	1.446	0.076	20.469	33.867	20.468
0.414	1.671	0.035	14.358	52.544	20.001
1.275	1.433	0.081	19.285	34.79	23.746
0.47	1.41	0.06	21.697	33.759	19.83
0.82	1.229	0.02	18.261	42.354	25.135
0.38	1.411	0.039	21.248	37.468	20.138
0.584	1.604	0.071	20.072	37.496	21.478
0.66	1.323	0.009	11.536	55.736	24.256
0.75	1.405	0.037	22.169	36.296	22.289
0.664	1.642	0.02	16.773	50.541	21.065
0.736	1.157	0.01	14.907	48.035	25.234
0.91	1.208	0.015	18.741	41.987	26.026
0.42	1.471	0.034	18.209	43.891	20.917
0.52	1.452	0.005	9.003	62.103	23.738
