0.72	1.218	0.013	16.534	45.883	24.651
1.12	1.276	0.017	16.931	45.564	26.449
0.8	1.396	0.055	22.062	33.723	22.03
0.996	1.535	0.02	21.493	41.562	23.984
0.56	1.442	0.008	13.273	54.927	23.749
0.85	1.329	0.043	19.478	38.544	23.014
0.516	1.619	0.017	18.558	47.758	24.156
0.94	1.306	0.031	17.472	43.059	24.475
0.56	1.361	0.07	16.33	39.939	20.311
0.96	1.25	0.012	14.093	50.309	26.054
0.38	1.481	0.028	14.022	51.325	21.347
0.56	1.442	0.182	15.622	26.041	19.511
0.43	1.488	0.027	21.27	40.329	22.145
0.7	1.414	0.01	17.194	48.036	23.968
0.43	1.436	0.025	19.533	42.601	21.764
1.03	1.354	0.012	13.541	52.622	26.265
0.66	1.402	0.024	21.068	39.866	22.654
0.7	1.414	0.025	18.048	44.512	22.921
0.292	1.341	0.015	17.425	46.019	22.154
0.58	1.354	0.04	16.602	43.8	21.972
0.75	1.405	0.059	21.781	33.723	21.564
0.516	1.418	0.006	10.31	59.541	20.997
0.75	1.322	0.063	19.021	36.203	21.833
0.57	1.234	0.019	18.812	41.741	22.746
0.8	1.396	0.009	14.79	51.752	24.824
0.78	1.276	0.012	16.597	46.816	24.473
0.47	1.461	0.005	9.01	62.244	23.215
0.7	1.414	0.025	22.046	38.242	22.499
0.388	1.518	0.021	19.233	44.702	17.256
0.957	1.263	0.013	18.03	44.166	26.745
0.89	1.276	0.027	21.293	37.225	23.722
1.248	1.671	0.034	13.425	54.209	26.026
0.96	1.253	0.01	16.322	47.161	27.898
0.581	1.483	0.035	22.202	37.542	22.945
0.688	1.685	0.012	14.762	55.399	24.156
0.74	1.276	0.031	21.386	36.497	22.444
1.04	1.212	0.013	17.749	43.977	25.641
1.33	1.148	0.019	18.812	40.532	29.431
0.47	1.461	0.048	21.629	36.239	20.133
0.88	1.233	0.023	15.769	45.816	24.631
0.321	1.651	0.025	18.75	46.883	17.026
0.18	1.454	0.04	18.044	42.904	19.113
0.38	1.388	0.017	15.506	49.398	22.212
0.47	1.461	0.008	13.783	54.414	23.375
0.521	1.211	0.043	21.074	34.325	21.562
0.86	1.276	0.027	18.897	40.953	24.195
